SiteID,Observation,Date,Observation_Start_PST,Observation_Start_Total_Sec,Chips_Calls_SS,Chip_Call_Cessation_SS,Singing_SS,Singing_Cessation_SS,Chips_Calls_ST,Chip_Call_Cessation_ST,Singing_ST,Singing_Cessation_ST,Chips_Calls_LG,Chip_Call_Cessation_LG,Singing_LG,Singing_Cessation_LG,Chips_Calls_BCC,Chip_Call_Cessation_BCC,Singing_BCC,Singing_Cessation_BCC,Chips_Calls_BW,Chip_Call_Cessation_BW,Singing_BW,Singing_Cessation_BW,Chips_Calls_GCS,Chip_Call_Cessation_GCS,Singing_GCS,Singing_Cessation_GCS,Chips_Calls_RCK,Chip_Call_Cessation_RCK,Singing_RCK,Singing_Cessation_RCK,Chips_Calls_Non_SS,Chip_Call_Cessation_Non_SS,Singing_Non_SS,Singing_Cessation_Non_SS,Chips_Calls_All,Chip_Call_Cessation_All,Singing_All,Singing_Cessation_All,User_Groups,Total_Humans,Total_Dogs,Human_Noise_Max,Dog_Noise_Max,Noise_Max,User_Group_Composition,Humans_UserG1,User_Group_Speed_1_UserG1,User_Group_Speed_2_UserG1,User_Group_Speed_3_UserG1,User_Group_Speed_Max_UserG1,User_Group_Speed_Der1_UserG1,User_Group_Speed_Der2_UserG1,Human_Noise_1_UserG1,Human_Noise_2_UserG1,Human_Noise_3_UserG1,Human_Noise_Max_UserG1,Human_Noise_Der1_UserG1,Human_Noise_Der2_UserG1,Tool_Use_UserG1,Dogs_UserG1,Leash_UserG1,Dog_Noise_1_UserG1,Dog_Noise_2_UserG1,Dog_Noise_Max_UserG1,Dog_Noise_Der_UserG1,Path_Dogs_1_UserG1,Path_Dogs_2_UserG1,Path_Dogs_Der_UserG1,Humans_UserG2,User_Group_Speed_1_UserG2,User_Group_Speed_2_UserG2,User_Group_Speed_Max_UserG2,User_Group_Speed_Dev_UserG2,Human_Noise_1_UserG2,Human_Noise_2_UserG2,Human_Noise_Max_UserG2,Human_Noise_Dev_UserG2,Tool_Use_UserG2,Dogs_UserG2,Leash_UserG2,Dog_Noise_1_UserG2,Dog_Noise_Max_UserG2,Path_Dogs_1_UserG2,Path_Dogs_2_UserG2,Path_Dogs_Der_User2,Humans_UserG3,User_Group_Speed_1_UserG3,User_Group_Speed_2_UserG3,User_Group_Speed_Max_UserG3,User_Group_Speed_Dev_UserG3,Human_Noise_1_UserG3,Human_Noise_2_UserG3,Human_Noise_Max_UserG3,Human_Noise_Dev_UserG3,Tool_Use_UserG3,Dogs_UserG3,Leash_UserG3,Dog_Noise_1_UserG3,Dog_Noise_2_UserG3,Dog_Noise_Max_UserG3,Dog_Noise_Dev_UserG3,Path_Dogs_UserG3,Observation_End_PST,Observation_End_Total_Sec,Observation_Midpoint,Observation_Duration,Noise_Pollution,Frogs
oaks,1,9/24/2024,8:08:12 AM,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:09:24 AM,72,36,72,0,0
oaks,2,9/24/2024,8:09:53 AM,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,No dogs,1,2,,,2,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:10:17 AM,125,113,24,0,0
oaks,3,9/24/2024,8:11:06 AM,174,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,No users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:13:47 AM,335,255,161,0,0
oaks,4,9/24/2024,8:16:53 AM,521,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,No users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:18:09 AM,597,559,76,0,0
oaks,6,9/24/2024,8:26:02 AM,1071,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,No users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:27:33 AM,1162,1117,91,0,0
oaks,7,9/24/2024,8:27:48 AM,1176,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,No dogs,1,3,,,3,0,,0,,,0,0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:28:00 AM,1188,1182,12,0,0
oaks,8,9/24/2024,8:28:40 AM,1228,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,No users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:29:53 AM,1301,1265,73,0,0
oaks,9,9/24/2024,8:30:19 AM,1327,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,No dogs,1,3,,,3,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:30:28 AM,1336,1332,9,0,0
oaks,10,9/24/2024,8:31:19 AM,1387,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,No users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:32:20 AM,1448,1418,61,0,0
oaks,11,9/24/2024,8:36:07 AM,1675,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,No users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:36:44 AM,1712,1694,37,0,0
oaks,12,9/24/2024,8:37:24 AM,1752,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,2,Dogs,1,3,,,3,0,,0,,,0,0,,,1,1,0,,0,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:37:38 AM,1766,1759,14,0,0
oaks,13,9/24/2024,8:42:56 AM,2084,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,No users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:44:47 AM,2195,2140,111,0,0
oaks,14,9/24/2024,8:50:41 AM,2549,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,No users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:51:47 AM,2615,2582,66,0,0
oaks,15,9/24/2024,9:00:42 AM,3150,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,2,0,3,0,3,No dogs,2,3,,,3,0,,2,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:00:54 AM,3162,3156,12,0,0
oaks,16,9/24/2024,9:02:48 AM,3276,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,No dogs,1,2,,,2,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:03:15 AM,3303,3290,27,0,0
oaks,17,9/24/2024,9:04:33 AM,3381,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,2,0,2,No dogs,1,2,,,2,0,,1,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:04:58 AM,3406,3394,25,0,0
oaks,18,9/24/2024,9:05:48 AM,3456,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:08:59 AM,3647,3552,191,1,1
oaks,19,9/24/2024,9:18:43 AM,4231,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,No dogs,1,2,,,2,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:19:04 AM,4252,4242,21,0,0
oaks,20,9/24/2024,9:22:05 AM,4433,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,0,1,0,1,No dogs,1,3,,,3,0,,0,,,0,0,,,,,,,,,,,,1,2,1,2,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,9:22:39 AM,4467,4450,34,0,0
oaks,21,9/24/2024,9:23:55 AM,4543,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,No users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:25:23 AM,4631,4587,88,0,0
oaks,22,9/24/2024,9:26:23 AM,4691,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,3,3,0,2,0,2,No dogs,1,2,,,2,0,,0,,,0,0,,,,,,,,,,,,1,3,,3,2,1,0,1,-1,,,,,,,,,,2,,2,0,0,,0,0,,,,,,,,,9:27:34 AM,4762,4727,71,0,0
oaks,23,9/24/2024,9:28:27 AM,4815,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,No users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:29:35 AM,4883,4849,68,0,0
sellwood,1,9/28/2024,8:00:22 AM,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,3,2,4,Dogs,2,1,,,1,0,,2,,,2,0,,,1,0,1,,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:00:47 AM,25,13,25,1,0
sellwood,2,9/28/2024,8:01:49 AM,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:03:02 AM,160,124,73,0,0
sellwood,3,9/28/2024,8:06:19 AM,357,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,No users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:08:31 AM,489,423,132,0,0
sellwood,4,9/28/2024,8:12:18 AM,716,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,2,2,2,3,Dogs,1,1,,,1,0,,0,1,,1,1,0,,1,1,0,,0,0,1,,0,1,1,,1,0,0,,0,0,,1,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,8:13:35 AM,793,755,77,0,0
sellwood,5,9/28/2024,8:16:51 AM,989,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,No users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:18:04 AM,1062,1026,73,0,0
sellwood,6,9/28/2024,8:21:44 AM,1282,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,No users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:23:51 AM,1409,1346,127,0,0
